random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc
1,0.7142857142857143,0.6944444444444444,0.4,0.539762245989889,0.8148148148148149
2,0.42857142857142855,0.5,0.0,0.9344350825006126,0.611111111111111
3,0.6190476190476191,0.5833333333333334,0.17647058823529405,0.7031453456274528,0.712962962962963
4,0.8333333333333334,0.78125,0.6,0.38119089252895294,0.90625
5,0.5769230769230769,0.525,0.05298013245033106,0.6069298683759107,0.74375
6,0.6666666666666666,0.6666666666666666,0.3287671232876712,0.640391892558887,0.6944444444444444
7,0.5,0.475,-0.051948051948051965,0.644205901710736,0.6875
8,0.6086956521739131,0.5198412698412699,0.04608294930875578,0.6187288064323113,0.753968253968254
9,0.6363636363636364,0.5416666666666666,0.08333333333333326,0.7906808571893905,0.5833333333333333
10,0.9090909090909091,0.875,0.7924528301886793,0.4276699074699443,0.8125
42,0.8,0.8333333333333333,0.6153846153846154,0.4673932663259926,0.9066666666666667
100,0.5652173913043478,0.48660714285714285,-0.02678571428571419,0.8383022455471414,0.5
123,0.7727272727272727,0.7583333333333333,0.5299145299145299,0.6759177567954686,0.65
2021,0.6086956521739131,0.6190476190476191,0.2247191011235955,0.8633229273248765,0.6031746031746033
7,0.5,0.475,-0.051948051948051965,0.644205901710736,0.6875
