random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc,harmonic_acc,kappa_acc_ratio,inv_log_loss,roc_auc_norm,composite_score,overfitting_flag,imbalance_signal,overconfident_model,stability_index,error_confidence_ratio
1,0.5769230769230769,0.6083333333333334,0.1538461538461538,0.6226809040110127,0.725,0.5922120014935062,0.26666666204444445,1.6059589711180933,0.4224999911275001,0.6447848695342396,False,False,False,0.4394230769230769,2.2642941140657147
2,0.5416666666666666,0.4785714285714285,-0.0476190476190476,0.9496083414557364,0.5714285714285714,0.5081680230237906,-0.08791208628909551,1.0530657175318792,0.09999999789999993,0.42587652387644853,False,False,False,0.2619047619047619,2.215752745029154
3,0.625,0.625,0.25,0.6049041851599769,0.8194444444444445,0.624999995,0.39999999360000005,1.653154347417831,0.6208333202958338,0.7221398161718413,False,False,False,0.5347222222222223,3.350238378411287
4,0.391304347826087,0.5882352941176471,0.1005586592178771,1.2174501088187124,0.7058823529411764,0.4699738855415198,0.25698323365611436,0.821388888581568,0.3823529331470588,0.45964762928526204,False,False,False,0.40322050607952675,4.139330229246394
5,0.5833333333333334,0.5,0.0,0.7164763269328757,0.6953125,0.5384615334911242,0.0,1.3957195073334105,0.3601562424367189,0.5522225079206887,False,False,False,0.34765625,2.351511970191609
6,0.5652173913043478,0.5238095238095238,0.0495867768595041,0.7012522423183148,0.626984126984127,0.5437262307486735,0.08773044981466083,1.426020375255888,0.21666666211666671,0.5369311340191101,False,False,False,0.3382854519218155,1.8799527694333442
7,0.782608695652174,0.6830357142857143,0.416243654822335,0.457582000535808,0.8214285714285715,0.7294398043198598,0.5318668854769066,2.1854005991823082,0.6249999868750005,0.8816577379601687,False,False,True,0.6188361131254533,2.5624590595028187
8,1.0,1.0,1.0,0.1566970625499853,1.0,0.999999995,0.9999999900000002,6.381740154596741,0.9999999790000005,1.8072610189895113,True,False,True,1.0,15669706.25499853
9,0.7083333333333334,0.6785714285714286,0.3731343283582089,0.4214811336688804,0.9071428571428573,0.6931330422126031,0.526777867892372,2.3725853813892313,0.8049999830950005,0.9195841435573067,False,False,True,0.6401385927505331,4.539027104538875
10,0.72,0.7083333333333333,0.4067796610169492,0.5277425050132426,0.798611111111111,0.714119014836973,0.5649717435655996,1.8948634448655457,0.5770833212145834,0.8177464634586242,False,False,False,0.6026953860640301,2.620514377529869
42,0.6,0.5649350649350648,0.1379310344827586,0.6376531482721106,0.7402597402597402,0.5819397943356339,0.22988505363984674,1.5682506814672785,0.454545445,0.6380701126262718,False,False,False,0.43909538737124937,2.4549645263314908
100,0.6,0.4166666666666667,-0.2019230769230768,0.8458805086354572,0.5238095238095238,0.4918032738511154,-0.33653845592948706,1.1822000601375269,0.0,0.4012082141488342,False,True,False,0.16094322344322354,1.7763490308311305
123,0.64,0.6538461538461539,0.2990654205607477,1.0753862055796746,0.5833333333333333,0.6468489842990269,0.46728971232476646,0.929898473229882,0.12499999737499985,0.5328061220051329,False,False,False,0.4411993769470405,2.5809268314489744
2021,0.5416666666666666,0.4928571428571429,-0.0153846153846153,0.7012223759029395,0.6857142857142857,0.5161104668178046,-0.02840236633955379,1.4260811122171106,0.33999999286000016,0.5382354254778267,False,False,False,0.3351648351648352,2.231162034154197
7,0.782608695652174,0.6830357142857143,0.416243654822335,0.457582000535808,0.8214285714285715,0.7294398043198598,0.5318668854769066,2.1854005991823082,0.6249999868750005,0.8816577379601687,False,False,True,0.6188361131254533,2.5624590595028187
