random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc
1,0.6153846153846154,0.5138888888888888,0.029850746268656803,0.6566307070540263,0.6805555555555556
2,0.6666666666666666,0.6,0.22580645161290314,0.7686718250695,0.7571428571428571
3,0.4166666666666667,0.4714285714285714,-0.050000000000000044,1.0192628410287297,0.65
4,0.30434782608695654,0.3137254901960784,-0.2602739726027399,1.4932799067659408,0.33333333333333337
5,0.75,0.611111111111111,0.25,0.39253683048391913,0.9074074074074073
6,0.6,0.608974358974359,0.21383647798742134,0.8551174931032866,0.641025641025641
7,0.8461538461538461,0.7045454545454546,0.40909090909090906,0.32854871486607046,0.9090909090909092
8,0.84,0.8181818181818181,0.6621621621621622,0.3388347336132731,1.0
9,0.5217391304347826,0.6041666666666666,0.16501650165016502,0.7975776216341851,0.725
10,0.7083333333333334,0.6785714285714286,0.3731343283582089,0.48023889698922684,0.8428571428571429
42,0.76,0.7467532467532467,0.5033112582781457,0.5209975911491894,0.818181818181818
100,0.8,0.5984848484848485,0.17218543046357615,0.46023732179280474,0.7272727272727273
123,0.64,0.5729166666666666,0.1573033707865168,0.850000352612054,0.6111111111111112
2021,0.6086956521739131,0.5178571428571428,0.037209302325581395,0.8022820194760463,0.5535714285714286
7,0.8461538461538461,0.7045454545454546,0.40909090909090906,0.32854871486607046,0.9090909090909092
