condition,channel,mean,variance,skewness,kurtosis,peak_to_peak,fft_mean,fft_std,fft_max,wavelet_energy,wavelet_entropy,delta_power,theta_power,slow_alpha_power,alpha_power,beta_power,gamma_power
EO,Fp1,-6.120447262273557e-10,3.916291215732732e-11,0.16246048007863287,0.5334880662857477,5.930859716492597e-05,0.0004951798936813866,0.0014508356526574753,0.02734649278002376,2.3503700600258076e-06,,2.9379196987263247e-12,2.0150985102583273e-12,2.7463761384025377e-12,1.8659725532356872e-12,4.1152257225158353e-13,1.3689232723801847e-13
EO,Fp2,-1.3010874239415442e-08,4.144551897390762e-11,0.15240815495299392,0.36892784410146007,6.0364272341531115e-05,0.0005043410669997334,0.0014942404072763012,0.02173097437295546,2.4875271201036426e-06,,3.5062260087050123e-12,2.089911596418867e-12,2.656956336704071e-12,1.9137085024553833e-12,4.359384660515145e-13,1.3250732534857303e-13
EO,F7,-1.5227235332667158e-08,5.2022529065077205e-11,0.069940336902889,1.2832307011001358,7.805321877227655e-05,0.0005394457413149323,0.0016825076977690092,0.03399123756176569,3.1224770529715785e-06,,5.1328120389623295e-12,2.051030370765427e-12,2.7788851469487615e-12,2.29381023149064e-12,3.9212317781234735e-13,1.5064623927989996e-13
EO,F3,3.588575476305861e-08,5.17598603859417e-11,-0.067142164122028,0.7815402599415444,7.216701812096302e-05,0.0005492465836914566,0.001674653077815528,0.03283294571977993,3.1063759160383692e-06,,4.688392783905995e-12,2.714250761094045e-12,3.272144548453773e-12,2.1711644891946095e-12,5.632657017772901e-13,1.1854878929077367e-13
EO,Fz,2.3440979130820984e-08,5.7035244288389204e-11,0.08729514226622828,0.48532253059340347,7.81993441203357e-05,0.000586365580678422,0.0017546613217407732,0.023659889724826293,3.422877592220907e-06,,3.892434641041819e-12,3.5522800847463294e-12,3.8088278712090115e-12,2.4411392021945297e-12,7.114638865304875e-13,1.1904719383513418e-13
EO,F4,6.886291372073903e-09,4.671722365802346e-11,0.1049013559520948,0.24267418674008834,6.574616212184648e-05,0.0005317917895893905,0.0015876568309011127,0.023015940647466437,2.8041872611714653e-06,,3.3114758950296805e-12,2.6860745597064805e-12,3.0743846288691465e-12,2.1855909950779453e-12,5.342233634557058e-13,1.1628701735017655e-13
EO,F8,-1.6486361214821014e-08,4.317760547502735e-11,0.018405315803979985,0.560135121826236,6.129030905149875e-05,0.0005233335456726899,0.001522229692713007,0.027889462472593687,2.596652738898112e-06,,3.0825377527461147e-12,2.1320260956134522e-12,2.5714608405785604e-12,2.1996032093719154e-12,4.185376007429715e-13,1.6599930784713665e-13
EO,FC3,1.2741546195285344e-08,5.139681347592439e-11,0.003910897272643812,0.44270475138487075,6.944756544889783e-05,0.0005622333378285198,0.0016637832779518005,0.025564523916595888,3.0844315343466096e-06,,3.251629687048968e-12,3.217796349202721e-12,3.819958731806643e-12,2.4595487916040954e-12,6.774382455919442e-13,1.1395406136172635e-13
EO,FCz,2.6211242584458296e-08,6.805652103438822e-11,0.039810344306710585,0.33446213984753115,7.999101292632085e-05,0.0006413643917428714,0.0019164281138864645,0.029200766327872604,4.084595430339715e-06,,4.716285045859119e-12,4.123662533395657e-12,4.314101868255047e-12,2.684043637998553e-12,9.215112584795907e-13,1.2798218372117752e-13
EO,FC4,1.5199274801827723e-08,5.021171640890491e-11,0.0925579617471708,0.3489505099833208,6.134061120247804e-05,0.0005602171292108236,0.0016429624223570029,0.022318669061747426,3.013773342171295e-06,,3.3635681871324666e-12,3.244091900525052e-12,3.7299484419443495e-12,2.4351863912025935e-12,6.576599118134869e-13,1.2168631464847555e-13
EO,T7,-3.6387031229800515e-08,4.1703507118334866e-11,-0.23945239198808282,1.1938483137779397,6.51662084462969e-05,0.00048558695627987547,0.0015056130045379029,0.022278874878159223,2.503472834586625e-06,,2.5957502915261997e-12,2.0515680083495514e-12,3.1051273456334773e-12,3.16625881483468e-12,3.544546485925822e-13,9.988378386327349e-14
EO,C3,5.4282067440281386e-09,5.346570390989234e-11,-0.04314806241862544,0.39712751714112704,6.79384902425854e-05,0.0005497439895639208,0.0017047600241846268,0.025181012061717988,3.208587496548952e-06,,3.1051506160792573e-12,3.47197354040294e-12,5.1072684606216645e-12,3.3864917334412495e-12,5.909586662363568e-13,8.816810779610434e-14
EO,Cz,2.9716556524311824e-08,7.259529977850518e-11,0.010310397583398252,0.30754235895507787,7.776535622620995e-05,0.0006738567781020109,0.0019754344786364997,0.025778716671546638,4.356609132057425e-06,,4.806109152470192e-12,4.0263607142533356e-12,4.774505811391281e-12,3.0804371121811947e-12,1.136822996285652e-12,1.3302917956928547e-13
EO,C4,1.7732634430440783e-08,4.7723409304001665e-11,0.0807836889907935,0.6645993179517138,6.473054093354826e-05,0.0005309252157691252,0.0016068513788754053,0.023263612606447773,2.865178770129511e-06,,3.135592420347074e-12,3.066248356884434e-12,4.450702790630438e-12,2.9535117032023144e-12,5.216657743787435e-13,9.596682514954734e-14
